min_x,min_y,max_x,max_y,name
-70.10142495152137,-20.2806056362123,-70.10046744839212,-20.27970216376395,Ruta del desierto / Las Américas
-70.1465106823972,-20.227841531919715,-70.14555351751284,-20.226938068056537,Tomás Bonilla B / Juan Martínez
-70.13546924454626,-20.24753893264904,-70.13451195536462,-20.24663546732722,Santiago Polanco / José Francisco Vergara
-70.12825349419778,-20.295930831286682,-70.12729590571357,-20.295027368689524,terminal Bajo molle
-70.10825149647654,-20.29560523439647,-70.10729390343637,-20.294701765579767,Calle 86 / Calle 8
-70.11017039996867,-20.298180112564765,-70.1086125007887,-20.297202087561022,Calle 9 / Pasaje 36
-70.08415464825187,-20.278639038923355,-70.08319715166297,-20.277735561052896,Valparaiso / Vía Veintiocho
-70.10387152919779,-20.27346003620727,-70.10291407071553,-20.27255656376898,La Pampa / Cerro Sta Rosa
-70.1027245985436,-20.27139110182949,-70.10156170060152,-20.270419297694623,La Pampa / Esmeralda
-70.13228425910886,-20.25211943291279,-70.1313269408023,-20.251215967063455,Avenida Salvador Allende Gossens / Playa El Águila
-70.12981952305022,-20.262377681736883,-70.12830477492506,-20.260911118331677,"Avenida Francisco Bilbao, 3636"
-70.15113507232225,-20.224802831341236,-70.15017792758744,-20.223899368635028,Arturo Prat Chacón / Cespedes y Gonzalez
-70.14802576990574,-20.223841631884923,-70.14706863000421,-20.22293816809135,Manuel Rodríguez / Barros Arana
-70.15065419095859,-20.214627778979985,-70.14848962478307,-20.21288467506311,Eleuterio Ramirez /
-70.13366574296624,-20.24692523296355,-70.1327084569448,-20.246021767012685,Salvador Allende Gossens / Santiago Polanco
-70.1401423758912,-20.2253662330538,-70.13918522401936,-20.224462766922457,Héroes de la Concepción / Céspedes y González
-70.1348808563672,-20.218696134224192,-70.13392374354379,-20.21779266575208,Vicente Zegers / Salvador Allende
-70.10201447934965,-20.279592694640975,-70.10032760823205,-20.27798246984094,La Pampa / Virginia
-70.13960458128888,-20.216923224738785,-70.13840637963965,-20.214512422614053,Héroes de La Concepción / Sargento Aldea
-70.09297915932805,-20.27536168554821,-70.09197583977601,-20.27407481439957,Los Aromos / Pasaje Uno
-70.08821886749458,-20.28372664245649,-70.08713203202639,-20.282699957532536,*Ricardo Lagos / Los Aromos
-70.12793098264788,-20.292544410312008,-70.12696101706716,-20.291513289517237,Vía Uno / Arturo Prat Chacón
-70.14295973595802,-20.212461733272082,-70.14200266395237,-20.2115582667042,Dieciocho de Septiembre / Esmeralda
-70.15347304978098,-20.217561631340768,-70.15251595012857,-20.216658168635497,Aníbal Pinto / Vicente Zegers
-70.15333108389221,-20.21484295467831,-70.15159481757644,-20.21378804564191,Plaza Prat
-70.14195835589787,-20.23126315317418,-70.14050414723839,-20.229604046998453,Héroes de la Concepción / Diego Portales
-70.14666170141615,-20.234064731575877,-70.1457044984939,-20.233161268400387,Arturo Prat Chacón alt 2755
-70.13685782533204,-20.24134083274966,-70.13590057457871,-20.240437367226594,Tadeo Haenke / José Francisco Vergara
-70.14188958383384,-20.22805783263978,-70.14093241607658,-20.227154367336478,Tomás Bonilla B / Oscar Bonilla
-70.14153094387002,-20.242917563444948,-70.14050935706705,-20.2419079365379,Playa Brava / Orden y Patria
-70.15009915644531,-20.225905806523247,-70.14910494508143,-20.22485769342222,Arturo Prat Chacón / Vivar
-70.14038228245327,-20.227524232905054,-70.13942511745728,-20.226620767071193,Héroes de la Concepción / Los Heroes
-70.12428781931843,-20.27132653317183,-70.12333038059327,-20.270423066804398,Los Algarrobos / Calle Uno
-70.10202708953067,-20.283102557153356,-70.10082940929124,-20.282161342927434,Las Américas / Isabel Riquelme
-70.15374503230676,-20.21186093159021,-70.15278796760276,-20.21095746838604,Arturo Prat Chacón / Gobernación Marítima
-70.14948566156282,-20.22119433178904,-70.14852853834702,-20.22029086818722,Bartolomé Vivar/ Orella
-70.13176283211908,-20.210595335128996,-70.13080576779218,-20.20969186484727,Luis Jaspard / Lito
