min_x,min_y,max_x,max_y,name
-58.73161941158258,-38.54895859358834,-58.730426282300385,-38.5472604063246,Terminal de Ómnibus
-58.73409848396947,-38.580889893540586,-58.73295091578857,-38.5799891064221,parada micros
-58.73016034702192,-38.584052009496475,-58.72876055063773,-38.58309178945829,
-58.74120651030748,-38.58447209156547,-58.74005888944953,-38.58357130839717,
-58.71721712991772,-38.57345309812094,-58.71606966984273,-38.57255230184177,
-58.74530115102474,-38.58974549017695,-58.74415344873166,-38.58884470978569,
-58.727066202305004,-38.582926295057376,-58.72591859745398,-38.58202550490533,
