min_x,min_y,max_x,max_y,name
-122.21900917826228,40.148376563451926,-122.21783522185405,40.14927743651234,Saint Elizabeth Hospital
-122.17795274885731,39.97483074574885,-122.17642675167639,39.97590385364405,99W & Sonoma (North)
-122.12308959940302,40.12924427290267,-122.12191600072751,40.13014512706151,Dairyville Community Center
-122.10059406665954,40.029911218310566,-122.09913254030715,40.03126968185902,Mill Creek Center
-122.15335836251461,40.056576586049694,-122.15214824042485,40.05788391386234,Gerber Market
-122.16871957847785,39.927293751793265,-122.16754942164482,39.928194648170994,Corning Medical
-122.17029741757092,39.920110251053195,-122.16912738255151,39.9210111489111,Maywood School
-122.17266354641741,40.00553385744104,-122.17149205370512,40.00643474252324,99W & Gyle
-122.1804129629964,39.925272450307254,-122.17924283712458,39.92617334965704,Corning Senior Center
-122.1863965818589,39.92738574979938,-122.18522641826117,39.92828665016492,Trax
-122.15858187432038,40.06419894359339,-122.15740912758123,40.06531625635524,Across From Public Works - Gerber
-122.10874389447743,40.10566437280872,-122.10757070565508,40.10656522715542,Lassen View School
-122.123582755313,40.026760730419966,-122.12235284068164,40.0277979694497,Tehama Museum
-122.12418651659954,40.13122387292481,-122.12301288353083,40.132124727039354,Jill's Market
-122.10024069411254,40.02411636749733,-122.09906890602079,40.02501723246681,99E & Grant
-122.17282989847253,40.08168196335978,-122.17165710165033,40.08258283660446,Harvey's Market
-122.18042756361662,39.92711309007647,-122.17879464114914,39.92844461007026,Corning City Hall
