min_x,min_y,max_x,max_y,name
-81.20785181911832,23.03459466877626,-81.20578375971009,23.038214649619913,Bus Local
-81.29858681073217,23.098591464246677,-81.29743109018321,23.099546435331938,Humberto Álvarez
-81.14325756124401,23.199793552531318,-81.14125857271804,23.200937083579277,Taxis Hotel Gran Memories y Hotel Laguna Azul
-81.29210307575585,23.107544139671663,-81.29112652421964,23.10844746030246,Bus Local
-81.28210098131672,23.136596740938113,-81.28112421865958,23.13750005903598,Calle 13
-81.19358856316619,23.179343569979054,-81.19214693567889,23.180387929118236,Varadero 1920
-81.25622442429426,23.150887893037055,-81.25333912532996,23.152453048565548,Bus Local
-81.28997153439825,23.1237298405122,-81.2889948655774,23.124633159461908,Correo
-81.17107302614698,23.186479016486288,-81.16979367036129,23.187966283642105,
-81.26431534964678,23.14755852189685,-81.26259494707037,23.14870597882054,Bus Local
-81.25336413881023,23.152147740767116,-81.25238726116847,23.153051059206973,Calle 55
-81.21511139997551,23.16864514047639,-81.21413440000639,23.169548459497683,Varadero Golf Club
-81.24927266672083,23.15408209378747,-81.24828823342771,23.15510350616377,Calle 62
-81.29897154135188,23.128518451753955,-81.29725695609261,23.1296083488163,Bus Local
-81.28285902558136,23.093552238504667,-81.28188257439488,23.09445556146947,
-81.27809788182209,23.136690040788718,-81.27712111815451,23.13759335918538,Camiones
-81.31910225578812,23.130005342095895,-81.31812554418504,23.130908657878194,
-81.20593401835504,23.03532393258452,-81.20495798162769,23.036227267389663,"A Colón, Jovellanos"
-81.18414524543473,23.180916140327437,-81.18316815454978,23.181819459646633,Marina Chapelin
-81.13032870221778,23.196201640038055,-81.12935149777125,23.19710495993603,Marina Palace
-81.13239140322312,23.196489440091874,-81.13141419676576,23.19739275988219,Princesa del Mar
-81.28541923538155,23.096294638761876,-81.28444276459449,23.097197961212256,
-81.21961267070276,23.04997473382228,-81.21863652927885,23.050878066151906,Brisas del mar
-81.2867645282542,23.116678276868743,-81.285562673134,23.117617423216892,Bus Local
-81.14153970480312,23.19697574029238,-81.14056249518497,23.19787905968168,Iberostar Laguna Azul
-81.2403624588138,23.157533240632844,-81.23938554116599,23.15843655934125,Varadero International
-81.25054094219306,23.153572958792147,-81.24935825846148,23.154495941243905,Bus Local
-81.20823982479291,23.037131332753543,-81.20726377518963,23.038034667220664,
