min_x,min_y,max_x,max_y,name
-59.15059913758006,-37.321698948915646,-59.14936695782641,-37.32056495094569,busStop_124
-59.13670397880325,-37.300312484566376,-59.13557642091328,-37.29941171539554,busStop_1005
-59.09953434678477,-37.31846843378506,-59.09844865493267,-37.31756466589564,Pedersen y Rosales
-59.14779049367169,-37.338387375893404,-59.146634107613174,-37.33745152406423,busStop_1518
-59.12223284420508,-37.30271622109563,-59.12105795427844,-37.301802378567686,busStop3010111
-59.111075357399834,-37.30958389134903,-59.109947642319995,-37.308683108612975,Rosales y Actis
-59.14911671251416,-37.30331525799458,-59.14798588709617,-37.30234784189662,busStop_2015
-59.132106120717275,-37.33247058346455,-59.13097807899952,-37.33156981649737,busStop_0
-59.14927874170797,-37.295964081190064,-59.14815125800697,-37.29506331877181,busStop_171
-59.124194679074954,-37.301213700094905,-59.12299182081668,-37.300258799817634,busStop3009
-59.10797174695573,-37.30676660195007,-59.10689065045738,-37.30588269767069,busStop_1503
-59.11128441133938,-37.33414304405596,-59.109939085707225,-37.33257675543061,busStop_2095
-59.15438291253915,-37.317253915267905,-59.152421233132436,-37.31599321159179,busStop_97
-59.16377072210417,-37.320844274993,-59.16264287760854,-37.319943524968814,busStop_2003
-59.120428822381854,-37.31898345806128,-59.11903481027428,-37.317626998942565,busStop_49
-59.13179306497256,-37.31161188514699,-59.130665334744506,-37.31071111481494,busStop_23
-59.10524000789272,-37.12777060689277,-59.10411499182983,-37.12686979306934,De La Canal
-59.12039555687488,-37.33673258656549,-59.119267442843416,-37.33583181339646,busStop_1015
-59.11726232964041,-37.29376349901857,-59.11583406657737,-37.29276060611298,busStop3033
-59.12825628625333,-37.314287385979526,-59.12712851346417,-37.3133866139824,busStop_1522
-59.14647633204516,-37.32886587426413,-59.14510587107872,-37.32793377478751,busStop_3527
-59.12408428947583,-37.33071666578083,-59.122656612487155,-37.32978063437442,busStop_2090
-59.136244904223595,-37.32503170917269,-59.13509403155314,-37.32411973929651,Sarmiento y 9 de Julio
-59.14150739842938,-37.316569981913034,-59.14037960128634,-37.31566921804886,busStop_3
-59.16245693228377,-37.323262832515965,-59.16108346565485,-37.32229396653526,busStop_94
-59.15033918961088,-37.30243488038307,-59.149211610103826,-37.3015341195788,busStop_2038
-59.143321921194456,-37.33487905997526,-59.14144023922381,-37.33102619637336,Parada de Colectivo
-59.12177080963883,-37.30585505773409,-59.12060727618186,-37.304787677030056,busStop3026
-59.14005492397299,-37.327918668060846,-59.13857461970127,-37.32669895888619,San Martín y Chacabuco
-59.129109055952014,-37.337035883994965,-59.12798094376515,-37.33613511596694,busStop_1021
-59.118962356182486,-37.29461913329873,-59.11702469490494,-37.29334094557742,busStop3002
-59.139832054159434,-37.31056008286474,-59.13870434555658,-37.30965931709716,busStop_2011
-59.14633202093507,-37.31982108024193,-59.145204178779984,-37.31892031971995,busStop_9
-59.121497313103525,-37.31665658024451,-59.11983071678458,-37.315382950178446,Espora y Buzón
-59.12724832376703,-37.3129106010851,-59.12610887512758,-37.311889798416495,busStop3014
-59.147577104802046,-37.31772328003407,-59.14644929491286,-37.31682251992778,busStop_10
