min_x,min_y,max_x,max_y,name
48.69979700556227,55.31007136397054,48.701371195165756,55.31096923598808,
48.810260198428644,54.94480690295146,48.81182020224953,54.945704897007836,
48.4621234684433,54.97194701761495,48.46368413234372,54.972844782341866,
48.52547422210251,55.19264771224625,48.527043578675084,55.19354548771107,
48.63932991915326,55.31861759264331,48.64162128798078,55.31958480812412,
48.90826448480089,55.26005379760971,48.90983691585928,55.260951802350306,
48.903082456317236,55.26162809921175,48.90465494434461,55.26252610074824,
48.899960452817076,55.261884900127505,48.901532947845766,55.26278289983246,
48.84232700613154,55.26573851720676,48.843899594549626,55.26663648275282,
48.9096785031005,55.269217697883114,48.91125129755957,55.27011570207687,
48.76161247049722,55.102310205208035,48.76372722824276,55.10339309370673,
48.542240941011954,55.18100350572428,48.543809859759826,55.18190129423318,Апастово
48.641213234045395,55.086546566099024,48.642778566691206,55.08744443385914,
48.556177393023376,55.34005631281562,48.5577526077514,55.34095408714193,
48.79967748419276,55.22235022671598,48.80124831650004,55.22324817324332,
49.02221935254402,55.10620765447334,49.02378584807449,55.10710574548736,
48.537608299524585,55.17816320707389,48.53917710124853,55.179060992883535,Апастово
48.36174154847929,55.001930455401805,48.36330325234025,55.002828144554236,Степановка
48.30994067358594,55.165814693029,48.31196387185309,55.16752196694745,Кильдуразы
48.60861405912402,55.0128095256232,48.61055823713803,55.01380317313021,
48.602122813989205,55.277043992932825,48.60369558676816,55.27794180702507,Шонгуты
48.606650222253876,55.28155379178185,48.608223178502286,55.282451608176096,Шонгуты
48.41781540515302,55.247607753571245,48.419386795660984,55.248505446385245,
48.53183698459715,55.18418740946748,48.533406016178056,55.1850851904899,
48.59349891843987,55.2365362927714,48.59507008231837,55.23743410718644,Чуру-Барышево
48.50069860389185,55.33899363971875,48.50247267166548,55.34026381496246,Ключи
48.482313580797786,55.302520635121404,48.48388721999855,55.30341836483562,
48.50284901252748,54.97872870408419,48.50440998824727,54.97962649587295,
48.30412027857363,55.21707719238024,48.30569032227459,55.21797480757534,
48.86922752101948,55.2642844092039,48.87080007965315,55.265182390755825,
48.49567498798795,55.20037212297205,48.49724461279935,55.20126987698503,
48.538524266137685,55.18040003007553,48.540095529261286,55.1815429698768,
48.69407330189753,55.30031416505332,48.69564709883187,55.30121203490525,
48.745354867385196,54.95850812371306,48.746915333313595,54.95940607624582,
48.58414933173927,55.21011177469776,48.586139772362145,55.21103672558792,Танай-Тураево
48.407610738542346,55.24116395670829,48.409181862274565,55.242061643248114,
48.59506251304459,55.23169039189789,48.59663348771294,55.23258820805995,Чуру-Барышево
48.57664519766427,55.17200329356469,48.57821380309634,55.17290110639304,
48.66689272922868,55.01420645248599,48.66845527149679,55.015104347472345,
48.727858469218425,55.29597445414702,48.729432131500104,55.2968723458118,
48.54117886576458,55.17824618490723,48.542909930620745,55.179577314267505,
48.26218943563864,55.106325067201915,48.26403123901777,55.107481569425616,Черки-Кильдуразы
48.36540135919735,54.99802736018372,48.36735634587145,54.99895524012181,
48.92839108974229,55.055411476709715,48.929955510903575,55.0563095232504,
48.89500504259396,55.26252910160128,48.89657755807047,55.26342709835862,
48.58209442008538,55.15541089053012,48.583662380672756,55.15630870942765,
48.64796575119018,54.94661015353588,48.64952564953823,54.94750804642231,
48.80568429362635,54.945178204352125,48.80724430705325,54.94607619560714,
48.837274399467645,55.26620841873551,48.838847001215136,55.267106381224046,
48.654789336015405,54.947197051385736,48.65634926471093,54.94809494857253,
48.4171425876468,54.98270640743315,48.41882981305656,54.983888791246976,
48.867671914933744,55.26463280968356,48.86924448573938,55.26553079027618,
48.817267502284345,54.94441950082559,48.81882749839163,54.94531749913374,
48.8231228372001,54.94245899893276,48.824682763473994,54.94335700102665,
48.83180359693955,54.95463459725574,48.83336400373234,54.955532602703705,
48.59630789029986,55.13099878403102,48.597874910452724,55.13189661592684,
48.30596028467479,55.216706891674114,48.30753031617282,55.217604508281454,
48.452927751069694,55.23403934024186,48.45449864973263,55.23493705971493,
48.39789866115733,55.23251995429249,48.40162165568424,55.234387377658265,Каратун
48.766646264166766,55.26943276437804,48.76865913378549,55.27054173523286,
48.830144327793704,54.93987148005118,48.831746170403264,54.94078601980403,Автовокзал Тетюши
48.72522992260643,55.29840245514454,48.72680367811304,55.29930034481425,
48.516860638502266,55.20114614082848,48.5186746883174,55.20219216989433,Апастово
