min_x,min_y,max_x,max_y,name
-96.73250339495814,40.870160131524315,-96.73131760538942,40.87106026843571,W Fletcher & NW 7th Street
-96.75640949846127,40.847023622299524,-96.75522410188233,40.84792377766057,Lincoln Municipal Airport
-96.73842358653494,40.856931359805735,-96.73692091220512,40.857854940283836,NW 12th & W Highland Boulevard
-96.72353510888196,40.860921933603336,-96.72234949146686,40.86182206635662,NW 1st & W Highland Boulevard
-96.73808415543459,40.865472129419565,-96.73689844491209,40.866372270540445,NW 12th & NW 10th Street
-96.73898940648036,40.8523229323892,-96.73753189430356,40.853232567677814,NW 12th & Kingbird Road
-96.73323057497755,40.87909533199671,-96.73204462537005,40.87999546796329,Fallbrook
-96.72559318376258,40.8692236336089,-96.72440741658605,40.87012376635107,W Fletcher & NW 2nd Circle
-96.75854803634691,40.87360752371996,-96.75736216399675,40.87450767624015,NW 27th & Rail Car Shop
-96.73816971132558,40.860521529005645,-96.73698408902096,40.861421670954385,NW 12th & Isaac Drive
-96.75641186178888,40.87655622460941,-96.75522593855511,40.87745637535068,Kawasaki Main Building
-96.72604699823833,40.859612032715006,-96.72486140211007,40.86051216724498,W Highland & NW 2nd Street
-96.7275435874467,40.86954663302444,-96.72635781290163,40.87044676693553,W Fletcher & NW 4th Street
-96.72304495287518,40.86587823414456,-96.72185924747377,40.86677836581541,NW 1st & W Grand Drive
-96.72855868662342,40.85819323181906,-96.7273731137246,40.85909336814091,W Highland & Discovery Drive
-96.73105468032799,40.857371930975624,-96.72986912001963,40.85827206898436,W Highland & NW 7th Street
-96.73898437837266,40.86800272933762,-96.7377986219739,40.86890287062241,NW 13th & W Keating Drive
-96.7389791980156,40.84952922350629,-96.73752740289889,40.850440476568096,NW 12th & W Upland Avenue
-96.73837641074493,40.87165982981282,-96.73719058960177,40.872559970147215,W Fletcher & NW 12th Street
