min_x,min_y,max_x,max_y,name
-45.035413232434465,-20.47236611005125,-45.034454367562766,-20.471462489925283,Lamounier
-45.01168319432757,-20.200253124181252,-45.01072600567156,-20.199349475795536,
-45.109227590426144,-20.264596320062623,-45.10827000956531,-20.263692679914097,
-45.123071133744354,-20.471192101004032,-45.12205026571313,-20.47028909896923,Itapecerica
-45.091686172660424,-20.258718720607916,-45.09072862733241,-20.25781507936882,
-45.2316108024482,-20.334574713576384,-45.23065279753361,-20.33367108640027,
-45.3462331824326,-20.362097707580137,-45.345275017540175,-20.361194092396442,
